10000, 992, 84, 10000, 992, 83, 10000, 992, 82, 10000, 992, 79, 10000, 992, 73, 
20000, 979, 69, 20000, 979, 68, 20000, 979, 68, 20000, 979, 69, 20000, 979, 83, 
40000, 1000, 125, 40000, 1000, 124, 40000, 1000, 124, 40000, 1000, 131, 40000, 1000, 125, 
80000, 993, 434, 80000, 993, 469, 80000, 993, 426, 80000, 993, 425, 80000, 993, 423, 
160000, 997, 1022, 160000, 997, 1019, 160000, 997, 1206, 160000, 997, 931, 160000, 997, 479, 
320000, 984, 928, 320000, 984, 916, 320000, 984, 915, 320000, 984, 915, 320000, 984, 924, 
640000, 985, 1272, 640000, 985, 1296, 640000, 985, 1288, 640000, 985, 1289, 640000, 985, 1296, 
1280000, 1004, 2606, 1280000, 1004, 2594, 1280000, 1004, 2602, 1280000, 1004, 2665, 1280000, 1004, 2693, 
2560000, 1013, 5217, 2560000, 1013, 5166, 2560000, 1013, 5166, 2560000, 1013, 5157, 2560000, 1013, 5167, 
5120000, 1005, 10403, 5120000, 1005, 10315, 5120000, 1005, 10353, 5120000, 1005, 10347, 5120000, 1005, 10370, 
10240000, 1051, 21162, 10240000, 1051, 20730, 10240000, 1051, 20718, 10240000, 1051, 20553, 10240000, 1051, 20584, 
20480000, 1044, 41665, 20480000, 1044, 41993, 20480000, 1044, 42061, 20480000, 1044, 41944, 20480000, 1044, 42051, 
40960000, 1043, 83852, 40960000, 1043, 83847, 40960000, 1043, 83855, 40960000, 1043, 83804, 40960000, 1043, 83729, 
81920000, 1030, 167269, 81920000, 1030, 167259, 81920000, 1030, 167075, 81920000, 1030, 167032, 81920000, 1030, 167236, 
163840000, 1054, 336722, 163840000, 1054, 333586, 163840000, 1054, 333762, 163840000, 1054, 333958, 163840000, 1054, 334599, 
327680000, 1075, 654937, 327680000, 1075, 655163, 327680000, 1075, 669053, 327680000, 1075, 668846, 327680000, 1075, 669243, 
655360000, 1032, 1322701, 655360000, 1032, 1322901, 655360000, 1032, 1321876, 655360000, 1032, 1322784, 655360000, 1032, 1322159, 
